day,month,year,ftmax,ftmin,ctmax,ctmin
1,1,64,89,66,31.67,18.89
2,1,64,85,62,29.44,16.67
3,1,64,85,66,29.44,18.89
4,1,64,79,67,26.11,19.44
5,1,64,82,67,27.78,19.44
6,1,64,86,68,30.00,20.00
7,1,64,79,66,26.11,18.89
8,1,64,75,66,23.89,18.89
9,1,64,72,66,22.22,18.89
10,1,64,84,65,28.89,18.33
11,1,64,84,65,28.89,18.33
12,1,64,85,66,29.44,18.89
13,1,64,86,65,30.00,18.33
14,1,64,85,63,29.44,17.22
15,1,64,85,66,29.44,18.89
16,1,64,86,63,30.00,17.22
17,1,64,87,64,30.56,17.78
18,1,64,83,66,28.33,18.89
19,1,64,86,63,30.00,17.22
20,1,64,87,65,30.56,18.33
21,1,64,84,67,28.89,19.44
22,1,64,86,65,30.00,18.33
23,1,64,85,64,29.44,17.78
24,1,64,87,64,30.56,17.78
25,1,64,90,68,32.22,20.00
26,1,64,89,69,31.67,20.56
27,1,64,91,66,32.78,18.89
28,1,64,85,67,29.44,19.44
29,1,64,87,67,30.56,19.44
30,1,64,84,68,28.89,20.00
31,1,64,88,65,31.11,18.33
1,2,64,85,69,29.44,20.56
2,2,64,82,65,27.78,18.33
3,2,64,79,67,26.11,19.44
4,2,64,76,62,24.44,16.67
5,2,64,83,60,28.33,15.56
6,2,64,88,66,31.11,18.89
7,2,64,88,63,31.11,17.22
8,2,64,85,63,29.44,17.22
9,2,64,88,68,31.11,20.00
10,2,64,88,69,31.11,20.56
11,2,64,85,66,29.44,18.89
12,2,64,83,67,28.33,19.44
13,2,64,78,67,25.56,19.44
14,2,64,87,67,30.56,19.44
15,2,64,89,67,31.67,19.44
16,2,64,82,66,27.78,18.89
17,2,64,75,68,23.89,20.00
18,2,64,75,62,23.89,16.67
19,2,64,79,65,26.11,18.33
20,2,64,83,69,28.33,20.56
21,2,64,84,66,28.89,18.89
22,2,64,83,68,28.33,20.00
23,2,64,84,65,28.89,18.33
24,2,64,87,65,30.56,18.33
25,2,64,87,63,30.56,17.22
26,2,64,87,64,30.56,17.78
27,2,64,86,65,30.00,18.33
28,2,64,88,64,31.11,17.78
29,2,64,92,64,33.33,17.78
1,3,64,90,66,32.22,18.89
2,3,64,89,65,31.67,18.33
3,3,64,91,65,32.78,18.33
4,3,64,92,66,33.33,18.89
5,3,64,92,67,33.33,19.44
6,3,64,92,68,33.33,20.00
7,3,64,92,67,33.33,19.44
8,3,64,92,68,33.33,20.00
9,3,64,87,69,30.56,20.56
10,3,64,88,66,31.11,18.89
11,3,64,86,66,30.00,18.89
12,3,64,91,66,32.78,18.89
13,3,64,93,66,33.89,18.89
14,3,64,93,66,33.89,18.89
15,3,64,89,64,31.67,17.78
16,3,64,91,63,32.78,17.22
17,3,64,92,68,33.33,20.00
18,3,64,89,64,31.67,17.78
19,3,64,88,64,31.11,17.78
20,3,64,88,62,31.11,16.67
21,3,64,88,62,31.11,16.67
22,3,64,88,64,31.11,17.78
23,3,64,90,65,32.22,18.33
24,3,64,90,59,32.22,15.00
25,3,64,88,66,31.11,18.89
26,3,64,88,66,31.11,18.89
27,3,64,91,63,32.78,17.22
28,3,64,93,64,33.89,17.78
29,3,64,92,66,33.33,18.89
30,3,64,93,66,33.89,18.89
31,3,64,92,64,33.33,17.78
1,4,64,89,64,31.67,17.78
2,4,64,89,60,31.67,15.56
3,4,64,91,62,32.78,16.67
4,4,64,90,63,32.22,17.22
5,4,64,90,62,32.22,16.67
6,4,64,90,60,32.22,15.56
7,4,64,90,62,32.22,16.67
8,4,64,91,63,32.78,17.22
9,4,64,91,60,32.78,15.56
10,4,64,87,64,30.56,17.78
11,4,64,86,65,30.00,18.33
12,4,64,87,65,30.56,18.33
13,4,64,87,61,30.56,16.11
14,4,64,90,61,32.22,16.11
15,4,64,92,61,33.33,16.11
16,4,64,90,63,32.22,17.22
17,4,64,87,61,30.56,16.11
18,4,64,89,62,31.67,16.67
19,4,64,92,61,33.33,16.11
20,4,64,88,64,31.11,17.78
21,4,64,82,63,27.78,17.22
22,4,64,89,56,31.67,13.33
23,4,64,82,58,27.78,14.44
24,4,64,82,52,27.78,11.11
25,4,64,85,54,29.44,12.22
26,4,64,85,55,29.44,12.78
27,4,64,84,56,28.89,13.33
28,4,64,84,61,28.89,16.11
29,4,64,83,59,28.33,15.00
30,4,64,78,56,25.56,13.33
1,5,64,79,58,26.11,14.44
2,5,64,90,54,32.22,12.22
3,5,64,79,57,26.11,13.89
4,5,64,79,56,26.11,13.33
5,5,64,77,56,25.00,13.33
6,5,64,81,61,27.22,16.11
7,5,64,82,54,27.78,12.22
8,5,64,83,54,28.33,12.22
9,5,64,79,54,26.11,12.22
10,5,64,78,51,25.56,10.56
11,5,64,79,56,26.11,13.33
12,5,64,79,57,26.11,13.89
13,5,64,79,58,26.11,14.44
14,5,64,80,61,26.67,16.11
15,5,64,80,56,26.67,13.33
16,5,64,83,57,28.33,13.89
17,5,64,82,52,27.78,11.11
18,5,64,83,55,28.33,12.78
19,5,64,84,52,28.89,11.11
20,5,64,83,51,28.33,10.56
21,5,64,79,52,26.11,11.11
22,5,64,80,52,26.67,11.11
23,5,64,79,52,26.11,11.11
24,5,64,76,51,24.44,10.56
25,5,64,78,52,25.56,11.11
26,5,64,77,52,25.00,11.11
27,5,64,78,56,25.56,13.33
28,5,64,76,54,24.44,12.22
29,5,64,73,54,22.78,12.22
30,5,64,76,51,24.44,10.56
31,5,64,76,55,24.44,12.78
1,6,64,75,52,23.89,11.11
2,6,64,77,50,25.00,10.00
3,6,64,78,53,25.56,11.67
4,6,64,79,52,26.11,11.11
5,6,64,78,55,25.56,12.78
6,6,64,83,53,28.33,11.67
7,6,64,84,52,28.89,11.11
8,6,64,82,51,27.78,10.56
9,6,64,78,53,25.56,11.67
10,6,64,74,50,23.33,10.00
11,6,64,74,49,23.33,9.44
12,6,64,76,49,24.44,9.44
13,6,64,76,47,24.44,8.33
14,6,64,76,51,24.44,10.56
15,6,64,74,50,23.33,10.00
16,6,64,71,55,21.67,12.78
17,6,64,70,57,21.11,13.89
18,6,64,70,46,21.11,7.78
19,6,64,61,41,16.11,5.00
