year,month,month_tot,elephant,buffalo,kudu,bushbuck,warthog,bushpig
1962,Oct,1,35,0,20,9,218,18
1962,Nov,2,9,2,29,6,302,13
1962,Dec,4,0,1,16,4,90,1
1963,Jan,5,0,1,16,0,123,7
1963,Feb,6,0,6,10,0,89,5
1963,Mar,7,0,5,6,0,52,7
1963,Apr,8,0,1,6,1,78,1
1963,May,9,0,2,16,1,102,9
1963,Jun,10,0,3,13,2,85,10
1963,Jul,11,0,0,16,1,81,3
1963,Aug,12,1,0,6,0,41,2
1963,Sep,13,0,0,5,3,28,3
1963,Oct,14,0,1,10,6,59,6
1963,Nov,15,0,0,12,5,54,10
1963,Dec,16,0,0,8,1,39,4
1964,Jan,17,0,1,9,2,60,3
1964,Feb,18,1,0,4,0,22,7
1964,Mar,19,0,1,4,1,22,4
1964,Apr,20,0,0,8,3,23,2
1964,May,21,1,0,5,0,31,1
1964,Jun,22,0,0,9,3,28,5
1964,Jul,23,0,0,9,2,24,2
1964,Aug,24,0,0,7,4,14,5
1964,Sep,25,0,0,6,4,23,0
1964,Oct,26,0,0,3,3,7,3
1964,Nov,27,1,0,2,3,19,4
1964,Dec,28,0,9,0,0,12,4
1965,Jan,29,0,2,3,0,8,0
1965,Feb,30,3,6,2,1,10,4
1965,Mar,31,0,6,0,3,10,2
1965,Apr,32,2,0,0,0,4,1
1965,May,33,0,2,0,1,7,1
1965,Jun,34,0,0,0,0,5,1
1965,Jul,35,0,0,1,2,6,0
1965,Aug,36,1,5,1,1,13,2
1965,Sep,37,0,0,1,1,13,1
1965,Oct,38,0,0,0,1,11,1
1965,Nov,39,0,1,0,0,0,0
1965,Dec,40,0,0,0,0,0,0
1965,Jan,41,0,0,0,0,0,0
1965,Feb,42,0,0,0,0,0,0
1965,Mar,43,5,0,3,1,22,5
1965,Apr,44,0,0,0,0,0,0
1965,May,45,0,0,0,0,0,0
1965,Jun,46,0,0,0,0,0,0
1965,Jul,47,0,0,0,0,0,0
1965,Aug,48,0,0,0,0,0,0
1965,Sep,49,0,0,4,0,5,0
1966,Oct,50,0,0,0,0,4,1
1966,Nov,51,0,0,0,0,0,0
1966,Dec,52,0,0,0,0,0,0
1966,Jan,53,0,0,0,0,16,8
1966,Feb,54,0,0,0,0,12,4
1966,Mar,55,0,0,3,0,7,0
1966,Apr,56,0,0,0,0,7,3
1966,May,57,0,0,0,0,3,1
1966,Jun,58,0,0,0,1,10,1
1966,Jul,59,0,0,0,0,12,0
1966,Aug,60,0,0,0,4,11,1
1966,Sep,61,0,0,4,0,0,0
