year,month,flyround
1962,Jan,306
1962,Feb,247
1962,Mar,477
1962,Apr,492
1962,May,304
1962,Jun,382
1962,Jul,297
1962,Aug,627
1962,Sept,520
1962,Oct,422
1962,Nov,766
1962,Dec,1009
1963,Jan,513
1963,Feb,580
1963,Mar,342
1963,Apr,324
1963,May,211
1963,Jun,118
1963,Jul,76.1
1963,Aug,95.6
1963,Sep,47.8
1963,Oct,43.3
1963,Nov,51.7
1963,Dec,48.3
1964,Jan,43.3
1964,Feb,38.9
1964,Mar,28.9
1964,Apr,41.7
1964,May,47.2
1964,Jun,16.7
1964,Jul,11.1
1964,Aug,20
1964,Sep,16.7
1964,Oct,12.8
1964,Nov,8
1964,Dec,23.9
1965,Jan,32.8
1965,Feb,24.4
1965,Mar,13.3
1965,Apr,28.9
1965,May,70.8
1965,Jun,37.8
1965,Jul,23.6
1965,Aug,50.3
1965,Sep,30.8
1965,Oct,22.2
1965,Nov,26.9
1965,Dec,15.8
1965,Jan,4.2
1965,Feb,4.4
1965,Mar,5.3
1965,Apr,5.8
1965,May,4.7
1965,Jun,3.1
1965,Jul,2.5
1965,Aug,6.7
1965,Sep,3.9
1966,Oct,1.1
1966,Nov,6.9
1966,Dec,2.8
1966,Jan,1.9
1966,Feb,6.4
1966,Mar,5
1966,Apr,6.1
1966,May,3.1
1966,Jun,6.7
1966,Jul,1.4
1966,Aug,4.4
1966,Sep,3.9
1966,Oct,1.4
1966,Nov,2.8
1966,Dec,1.1
